BULAN,S-1/220 VA,S-2/450 VA,S-2/900 VA,S-2/1.300 VA,S-2/2.200 VA,S-2/3.500 VA s/d 200 kVA,S-3/> 200 kVA,JUMLAH S,R-1/450 VA,R-1/900 VA,R-1/900 VA-RTM,R-1/1.300 VA,R-1/2.200 VA,R-2/3.500 VA s/d 5.500 VA,R-3/6.600 VA keatas,JUMLAH R,B-1/450 VA,B-1/900 VA,B-1/1.300 VA,B-1/2.200 VA s/d 5.500 VA,B-2/6.600 VA s/d 200 kVA,B-3/> 200 kVA,JUMLAH B,I-1/450 VA,I-1/900 VA,I-1/1.300 VA,I-1/2.200 VA,I-1/3.500 s/d 14 kVA,I-2/14 kVA s/d 200 kVA,I-3/> 200 kVA,I-4/300 kVA keatas,JUMLAH I,P-1/450 VA,P-1/900 VA,P-1/1.300 VA,P-1/2.200 VA s/d 5.500 VA,P-1/6.600 VA s/d 200 kVA,P-2/> 200 kVA,P-3,JUMLAH P,T,C,L,JUMLAH,JML. SEMUA
2021-01-01,0,54000,134000,113000,114000,1096000,770000,2282000,6222000,3437000,13356000,11199000,5481000,4053000,843000,44590000,2018000,836000,531000,1391000,7108000,2947000,14831000,0,0.0,0,0,49000,11486000,90119000,28675000,130330000,1000,2000,2000,21000,367000,58000,1013000,1463000,0,0,74000,74000,193570000
2021-02-01,0,49000,120000,104000,107000,1073000,713000,2166000,4712000,1931000,12031000,10156000,5020000,3765000,827000,38442000,616000,778000,491000,1289000,6508000,2760000,12441000,0,0.0,0,0,45000,10771000,84977000,28837000,124630000,1000,2000,2000,19000,361000,64000,954000,1402000,0,0,90000,90000,179170000
2021-03-01,0,54000,133000,113000,116000,1255000,815000,2486000,5118000,2199000,13577000,11531000,5704000,4294000,889000,43314000,636000,845000,540000,1476000,7322000,3074000,13895000,0,0.0,0,0,43000,11987000,95291000,27198000,134520000,1000,3000,2000,22000,422000,76000,1052000,1576000,0,0,89000,89000,195879000
2021-04-01,0,61000,144000,120000,127000,1327000,843000,2621000,4582000,2139000,13765000,11804000,5980000,4437000,874000,43580000,279000,844000,542000,1457000,7294000,3058000,13475000,0,0.0,0,0,44000,11582000,86587000,27159000,125373000,0,3000,2000,22000,410000,74000,981000,1493000,0,0,69000,69000,186612000
2021-05-01,0,65000,153000,117000,138000,1345000,823000,2641000,4919000,2301000,14740000,12777000,6506000,4848000,932000,47024000,295000,873000,554000,1471000,7070000,2950000,13214000,0,0.0,0,0,43000,8257000,73470000,46315000,128086000,0,2000,3000,24000,421000,74000,1018000,1543000,0,0,99000,99000,192606000
2021-06-01,0,55000,139000,111000,123000,1327000,860000,2615000,4789000,2211000,14176000,12211000,6206000,4614000,939000,45146000,327000,860000,551000,1489000,7460000,3171000,13859000,0,0.0,0,0,46000,12051000,87034000,45387000,144518000,0,2000,2000,24000,425000,82000,993000,1530000,0,0,98000,98000,207765000
2021-07-01,0,62000,136000,110000,122000,1185000,785000,2400000,4744000,2212000,14010000,12023000,6131000,4671000,928000,44719000,319000,853000,530000,1427000,7101000,3084000,13314000,0,0.0,0,0,42000,10560000,82220000,29814000,122636000,0,2000,2000,36000,367000,58000,1016000,1480000,0,0,107000,107000,184657000
2021-08-01,0,54000,137000,110000,118000,1309000,852000,2581000,4811000,2290000,14431000,12519000,6443000,4916000,976000,46386000,338000,869000,545000,1503000,7376000,3284000,13915000,0,0.0,0,0,43000,11343000,83566000,52146000,147099000,1000,3000,3000,27000,413000,68000,1017000,1533000,0,0,92000,92000,211605000
2021-09-01,0,52000,135000,111000,122000,1480000,933000,2833000,4724000,2242000,14109000,12291000,6359000,4851000,985000,45562000,334000,858000,550000,1512000,7457000,3015000,13726000,0,0.0,0,0,82000,12392000,87144000,35431000,135049000,2000,3000,4000,30000,434000,78000,991000,1543000,0,0,108000,108000,198820000
2021-10-01,0,51000,143000,117000,132000,1649000,932000,3024000,4903000,2422000,15044000,13190000,6899000,5301000,1059000,48818000,355000,910000,580000,1606000,7784000,3207000,14443000,0,0.0,0,0,46000,12223000,87876000,37806000,137951000,1000,3000,4000,31000,456000,76000,997000,1568000,0,0,150000,150000,205955000
2021-11-01,0,48000,134000,113000,124000,1554000,887000,2860000,4673000,2448000,13800000,11811000,6121000,4753000,1007000,44611000,343000,831000,527000,1498000,7458000,2814000,13470000,0,0.0,0,1000,46000,12322000,85254000,34327000,131949000,1000,4000,4000,27000,418000,62000,979000,1495000,0,0,150000,150000,194535000
2021-12-01,0,47000,131000,114000,127000,1523000,905000,2848000,4660000,2220000,13997000,11832000,6086000,4724000,1011000,44529000,347000,841000,533000,1538000,7716000,2917000,13892000,0,0.0,0,0,47000,11823000,84324000,43890000,140085000,1000,4000,4000,29000,435000,68000,1017000,1557000,0,0,138000,138000,203049000
2022-01-01,0,47000,133000,115000,119000,1594000,879000,2888000,4513000,2163000,13860000,11736000,6059000,4695000,1004000,44030000,333000,829000,531000,1531000,7599000,2876000,13699000,0,0.0,0,0,45000,11898000,86075000,45520000,143539000,1000,4000,4000,28000,429000,55000,1001000,1522000,0,0,128000,128000,205806000
2022-02-01,0,44000,120000,106000,113000,1378000,791000,2553000,3984000,1946000,12630000,10786000,5618000,4429000,932000,40325000,282000,749000,479000,1403000,7026000,2617000,12555000,0,0.0,0,0,44000,10594000,79536000,32346000,122520000,1000,3000,3000,26000,371000,60000,954000,1418000,0,0,125000,125000,179496000
2022-03-01,0,48000,137000,114000,125000,1623000,913000,2960000,4440000,2165000,14141000,12072000,6322000,5059000,1058000,45258000,327000,836000,547000,1551000,7852000,3020000,14132000,0,0.0,0,0,47000,12171000,92923000,36118000,141258000,1000,5000,3000,28000,442000,73000,1034000,1586000,0,0,116000,116,205310
2022-04-01,0,57000,152000,123000,140000,1615000,862000,2950000,4388000,2189000,14287000,12286000,6399000,5000000,1086000,45636000,330000,842000,557000,1584000,7601000,2863000,13777000,0,0.0,0,0,47000,10708000,83371000,34338000,128466000,1000,5000,4000,28000,404000,79000,1019000,1539000,0,0,90000,90000,192458000
2022-05-01,0,53000,144000,116000,128000,1535000,875000,2851000,4451000,2251000,14395000,12263000,6440000,4925000,1067000,45792000,314000,815000,519000,1494000,7344000,2906000,13392000,0,0.0,0,0,43000,8826000,74365000,31360000,114595000,1000,4000,3000,26000,403000,83000,1024000,1545000,0,0,133000,133000,178307000
2022-06-01,0,47000,134000,110000,126000,1633000,914000,2965000,4240000,2167000,14183000,12149000,6356000,5106000,1128000,45329000,362000,831000,540000,1596000,7939000,2923000,14191000,0,0.0,0,0,47000,12128000,91683000,33534000,137393000,1000,4000,4000,27000,437000,90000,1033000,1595000,0,0,151000,151000,201623000
2022-07-01,0,50000,137000,114000,130000,1605000,955000,2991000,4339000,2226000,14499000,12339000,6492000,4939000,1107000,45940000,337000,849000,537000,1576000,7981000,2976000,14256000,0,0.0,0,0,45000,11505000,87773000,27895000,127219000,1000,5000,4000,29000,443000,81000,1062000,1624000,0,0,171000,171000,192201000
2022-08-01,0,55000,152000,120000,142000,1959000,994000,3423000,4282000,2231000,14636000,12483000,6599000,4927000,1153000,46311000,351000,862000,556000,1617000,8119000,3153000,14658000,0,0.0,0,1000,48000,12270000,88326000,30008000,130654000,1000,4000,4000,28000,475000,72000,1083000,1667000,0,0,105000,105000,196817000
2022-09-01,0,50000,143000,114000,137000,2055000,1034000,3533000,4272000,2225000,14639000,12616000,6784000,5037000,1165000,46737000,342000,854000,558000,1619000,8125000,3197000,14695000,0,0.0,0,0,49000,12232000,86461000,24914000,123656000,1000,4000,4000,31000,483000,103000,1043000,1669000,0,0,138000,138000,190429000
2022-10-01,0,51000,147000,120000,140000,2033000,1044000,3535000,4273000,2242000,14707000,12443000,6721000,5013000,1149000,46549000,344000,856000,557000,1600000,8019000,3035000,14410000,0,0.0,0,0,47000,11796000,88283000,25595000,125722000,1000,4000,4000,29000,461000,94000,1074000,1668000,0,0,162000,162000,192046000
2022-11-01,0,48000,136000,114000,131000,1999000,972000,3399000,4112000,2150000,14072000,11870000,6347000,4745000,1130000,44425000,329000,809000,525000,1582000,7782000,3035000,14062000,0,0.0,0,0,47000,11524000,85859000,22728000,120158000,1000,4000,4000,30000,449000,92000,1041000,1621000,0,0,202000,202000,183866000
2022-12-01,0,716000,1331000,810000,591000,1321000,19000,4788000,35167000,13543000,117793000,77265000,24217000,11048000,970000,280003000,6663000,7142000,3673000,5834000,3235000,22000,26569000,0,0.0,1000,2000,58000,696000,226000,4000,987000,11000,30000,36000,61000,76000,2000,2230000,2446000,0,0,293000,293000,315086000
2023-01-01,0,46000,136000,116000,127000,1955000,969000,3350000,4079000,2143000,14250000,12100000,6530000,4836000,1155000,45092000,329000,810000,527000,1553000,8048000,3126000,14394000,0,0.0,0,0,46000,11433000,85515000,23103000,120097000,1000,5000,4000,31000,458000,68000,1106000,1672000,0,0,160000,160000,184765000
2023-02-01,0,40000,124000,104000,114000,1801000,875000,3058000,3540000,1926000,12665000,10668000,5761000,4257000,1067000,39885000,300000,724000,476000,1433000,7368000,2795000,13096000,0,0.0,0,0,42000,10859000,79843000,21930000,112675000,0,5000,4000,29000,422000,84000,993000,1537000,0,0,109000,109000,170359000
2023-03-01,0,47000,140000,124000,139000,2003000,998000,3452000,3952000,2195000,14581000,12418000,6728000,5030000,1193000,46096000,337000,818000,541000,1572000,8188000,3157000,14615000,0,0.0,0,0,45000,11796000,88854000,28747000,129443000,1000,6000,4000,30000,463000,81000,1073000,1658000,0,0,142000,142000,195405000
2023-04-01,0,57000,140000,125000,144000,1679000,833000,2978000,3710000,2154000,14226000,12063000,6603000,4833000,1134000,44724000,318000,788000,517000,1524000,7196000,2894000,13236000,0,0.0,0,0,40000,7642000,69308000,22502000,99492000,0,5000,3000,26000,404000,100000,1039000,1578000,0,0,138000,138000,162147000
2023-05-01,0,55000,141000,121000,145000,2001000,1033000,3496000,4049000,2287000,15255000,13110000,7179000,5209000,1261000,48350000,324000,814000,520000,1596000,8344000,3277000,14875000,0,0.0,0,0,43000,11685000,90196000,31111000,133035000,1000,5000,4000,30000,494000,110000,1090000,1733000,0,0,181000,181000,201670000
2023-06-01,0,57000,146000,121000,137000,1824000,963000,3248000,3962000,2234000,14930000,12988000,7093000,5270000,1255000,47734000,340000,811000,536000,1600000,8265000,3300000,14851000,0,0.0,0,0,45000,11396000,86146000,23898000,121486000,0,5000,4000,29000,469000,79000,1050000,1636000,0,0,177000,177000,189131000
2023-07-01,0,47000,137000,122000,134000,1784000,956000,3180000,3931000,2262000,15053000,12909000,7042000,5141000,1269000,47607000,325000,784000,522000,1606000,8289000,3276000,14803000,0,0.0,0,0,47000,11748000,88754000,26217000,126766000,1000,4000,4000,28000,480000,93000,1104000,1715000,0,0,193000,193000,194264000
2023-08-01,0,46000,143000,131000,147000,2116000,1022000,3606000,3756000,2204000,14753000,12585000,6960000,5144000,1413000,46815000,323000,768000,510000,1610000,8346000,3357000,14913000,0,0.0,0,0,47000,12075000,90116000,21124000,123362000,1000,5000,5000,31000,507000,88000,1120000,1756000,0,0,138000,138000,190589000
2023-09-01,0,45000,134000,125000,160000,2135000,1034000,3633000,3682000,2161000,14597000,12519000,7006000,5211000,1285000,46461000,318000,754000,512000,1596000,8270000,3329000,14778000,0,0.0,0,0,44000,11432000,86128000,19093000,116697000,3000,5000,5000,29000,501000,75000,1086000,1704000,0,0,158000,158000,183430000
2023-10-01,0,46000,139000,135000,144000,2466000,1216000,4145000,3925000,2351000,16074000,14076000,7983000,5888000,1445000,51742000,336000,810000,556000,1719000,8947000,3558000,15927000,0,0.0,0,0,47000,12020000,91716000,21657000,125440000,1000,6000,5000,33000,587000,83000,1097000,1811000,0,0,191000,191000,199256000
2023-11-01,0,47000,140000,130000,151000,2540000,1318000,4326000,3976000,2385000,16342000,14471000,8343000,6063000,1524000,53106000,339000,821000,560000,1752000,8862000,3503000,15837000,0,0.0,0,0,46000,11641000,89334000,19360000,120381000,1000,7000,4000,32000,587000,75000,1082000,1788000,0,0,210000,210000,195648000
2023-12-01,0,44000,148000,139000,146000,2125000,1101000,3704000,3879000,2381000,16038000,13927000,7969000,5808000,1474000,51476000,338000,795000,553000,1699000,8686000,3294000,15364000,0,0.0,90000,0,48000,10712000,86805000,16034000,113599000,1000,7000,4000,33000,555000,78000,1104000,1780000,0,0,194000,194000,186118000
2024-01-01,0,45000,134000,127000,140000,2338000,1052000,3836000,3844000,2370000,15805000,13722000,7922000,5677000,1453000,50793000,330000,774000,531000,1645000,8804000,3266000,15350000,0,0.0,90,212,49000,11708000,89672000,21103000,122532000,1000,6000,3000,32000,562000,74000,1100000,1778000,0,0,147000,147000,194437000
2024-02-01,0,41000,128000,120000,138000,2133000,1103000,3663000,3471000,2180000,14507000,12451000,7133000,5174000,1363000,46280000,308000,712000,486000,1528000,8147000,2978000,14158000,0,0.0,90,157,44000,10309000,81410000,18606000,110369000,1000,6000,4000,28000,525000,68000,1039000,1670000,0,0,139000,139000,176279000
2024-03-01,0,659000,1321000,863000,635000,1488000,21000,4987000,33587000,14195000,125580000,82453000,27669000,12547000,1244000,297275000,6521000,6057000,3250000,5540000,3398000,22000,24788000,0,0.0,1000,2000,58000,686000,229000,4000,980000,11000,34000,38000,63000,83000,2000,2396000,2627000,0,0,283000,283000,330940000
2024-04-01,0,50000,142000,130000,149000,1984000,1082000,3536000,3776000,2392000,15574000,13569000,7970000,5619000,1431000,50331000,308000,731000,499000,1546000,8083000,3065000,14232000,0,0.0,70,173,39000,8140000,69226000,16365000,93771000,1000,5000,3000,25000,500000,60000,1073000,1677000,0,0,167000,167000,163705000
2024-05-01,0,47000,131000,129000,143000,2398000,1335000,4183000,3853000,2493000,16761000,14832000,8672000,6181000,1603000,54396000,339000,803000,558000,1728000,9284000,3623000,16336000,0,0.0,70,223,44000,11850000,89801000,20266000,121962000,1000,6000,5000,29000,575000,63000,1112000,1792000,0,0,152000,152000,198821000
2024-06-01,43000,43000,136000,133000,151000,2068000,1099000,3674000,3717000,2409000,15980000,14052000,8233000,5863000,1535000,51789000,325000,771000,539000,1649000,8773000,3234000,15290000,0,0.0,70,170,44000,11067000,83463000,22201000,116776000,1000,5000,3000,27000,530000,59000,1088000,1712000,0,0,215000,215000,189455000
2024-07-01,0,43000,132000,130000,153000,2170000,1077000,3704000,3680000,2393000,15728000,13659000,7904000,5630000,1548000,50541000,323000,765000,531000,1675000,9138000,3389000,15821000,0,0.0,0,0,43000,12379000,89263000,27148000,128833000,1000,5000,4000,29000,557000,70000,1119000,1785000,0,0,114000,114000,200798000
2024-08-01,0,44000,137000,140000,143000,2614000,1222000,4298000,3586000,2379000,15796000,14019000,8253000,5841000,1595000,51469000,321000,784000,548000,1675000,8981000,3451000,15760000,0,0.0,0,0,44000,11274000,86338000,23495000,121151000,1000,5000,4000,30000,566000,59000,1001000,1664000,0,0,140000,140000,194482000
2024-09-01,0,44000,137000,140000,143000,2614000,1222000,4298000,3586000,2379000,15796000,14019000,8253000,5841000,1595000,51469000,321000,784000,548000,1675000,8981000,3451000,15760000,0,0.0,0,0,44000,11274000,86338000,23495000,121151000,1000,5000,4000,30000,566000,59000,1001000,1664000,0,0,140000,140000,194482000
2024-10-01,0,44000,142000,145000,156000,2945000,1438000,4869000,3832000,2561000,17079000,15433000,9224000,6491000,1737000,56356000,334000,841000,582000,1806000,9693000,3798000,17053000,0,0.0,0,0,48000,12594000,90863000,22091000,125596000,1000,6000,4000,32000,626000,55000,7601000,8323000,0,0,172000,172000,212370000
2024-11-01,0,46000,136000,144000,157000,2779000,1306000,4568000,3777000,2510000,16635000,14951000,8959000,6294000,1700000,54826000,330000,827000,568000,1766000,9180000,3530000,16201000,0,0.0,0,0,46000,11330000,85253000,24396000,121025000,1000,6000,5000,29000,586000,53000,1053000,1733000,0,0,124000,124000,198479000
2024-12-01,0,64000,153000,135000,160000,2359000,1136000,4007000,3761000,2484000,15873000,13915000,8251000,5940000,1683000,51907000,321000,787000,557000,1772000,9053000,3251000,15742000,0,0.0,0,0,45000,11263000,85346000,22065000,118719000,1000,5000,11000,29000,539000,59000,1015000,1659000,0,0,148000,148000,192182000
2025-01-01,0,48000,149000,139000,159000,2350000,1076000,3921000,4019000,3070000,20721000,20049000,12932000,5578000,1525000,67894000,350000,858000,581000,1674000,8770000,3194000,15427000,0,0.0,0,0,44000,11169000,87074000,22494000,120782000,1000,4000,4000,29000,512000,57000,1039000,1646000,0,0,124000,124000,209794000
2025-02-01,0,40000,136000,131000,147000,2375000,1112000,3941000,3493000,2705000,18950000,18265000,11701000,5245000,1459000,61817000,300000,741000,504000,1597000,8466000,3067000,14677000,0,0.0,0,0,42000,11304000,87230000,20843000,119420000,1000,6000,5000,28000,512000,48000,938000,1538000,0,0,108000,108000,201500000
2025-03-01,0,52000,152000,158000,167000,2300000,1086000,3915000,3625000,2542000,15967000,14977000,9580000,5883000,1628000,54203000,322000,799000,553000,1753000,8856000,3295000,15578000,0,0.0,0,0,46000,10579000,85272000,27034000,122932000,1000,5000,4000,28000,523000,62000,1031000,1655000,0,4000,101000,106000,198389000
2025-04-01,0,41000,121000,128000,134000,2217000,1176000,3818000,3472000,2052000,12457000,10138000,5864000,5470000,1517000,40970000,272000,699000,482000,1518000,8387000,3188000,14547000,0,0.0,0,0,40000,9417000,77726000,29880000,117063000,1000,5000,4000,27000,509000,41000,966000,1552000,0,4000,125000,129000,178079000
2025-05-01,0,39000,138000,135000,144000,2481000,1277000,4214000,3643000,2260000,14438000,12096000,7030000,6068000,1684000,47218000,314000,792000,550000,1724000,9205000,3442000,16026000,0,0.0,0,0,44000,11848000,88244000,26989000,127125000,1000,6000,5000,30000,540000,47000,1014000,1642000,0,4000,88000,92000,196317000
2025-06-01,0,39000,138000,138000,146000,2229000,1298000,3988000,3622000,2351000,14952000,12858000,7502000,5959000,1684000,48929000,303000,781000,535000,1658000,8877000,3436000,15589000,0,0.0,0,0,42000,11027000,86142000,26823000,124035000,1000,5000,5000,30000,543000,47000,984000,1614000,0,7000,178000,185000,194340000
2025-07-01,0,30000,124000,140000,141000,2375000,1273000,4084000,3649000,2370000,15144000,13078000,7659000,5796000,1707000,49404000,308000,787000,543000,1704000,9498000,3594000,16434000,0,0.0,0,0,43000,12558000,91955000,25617000,130173000,1000,6000,5000,32000,576000,53000,1021000,1692000,0,8000,104000,112000,201899000
